transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,month_name,year_month
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,Movie tickets,2023,4,abr.,2023-04
T12828,U133,2022-08-05,Expense,Rent,649.0,Unknown,Hyderabad,asdfgh,2022,8,ago.,2022-08
T7403,U091,2023-12-31,Income,Freelance,13239.0,Cash,BAN,Books,2023,12,dic.,2023-12
T7495,U088,2022-10-28,Expense,Entertainment,2287.0,Card,Hyderabad,,2022,10,oct.,2022-10
T12465,U042,2024-04-11,Expense,Food,4168.0,Unknown,,test,2024,4,abr.,2024-04
T4518,U026,2022-08-16,Expense,Education,828.0,Crd,Lucknow,Uber ride,2022,8,ago.,2022-08
T9824,U061,2024-12-12,Income,Salary,62061.0,Crd,AHM,...,2024,12,dic.,2024-12
T0741,U053,2024-03-13,Expense,Utilities,5070.0,UPI,KOL,Grocery shopping,2024,3,mar.,2024-03
T12403,U004,2023-11-10,Income,Others,59543.0,UPI,LUC,Gym membership,2023,11,nov.,2023-11
T5282,U016,2022-04-15,Expense,Utilities,999999999.0,Crd,DEL,,2022,4,abr.,2022-04
T6861,U112,2021-04-18,Expense,Utilities,4262.0,UPI,AHM,Uber ride,2021,4,abr.,2021-04
T9446,U006,2022-06-29,Expense,Utilities,5767.0,Bank Transfer,BANGALORE,,2022,6,jun.,2022-06
T3016,U099,2022-02-24,Expense,Rent,23760.0,Crd,BANGALORE,Electricity bill,2022,2,feb.,2022-02
T11564,U148,2023-08-28,Expense,Food,898.0,UPI,LUC,Restaurant dinner,2023,8,ago.,2023-08
T11382,U111,2023-06-02,Income,Freelance,25143.0,Card,CHENNAI,,2023,6,jun.,2023-06
T3133,U024,2024-07-17,Expense,Rent,9567.0,Bank Transfer,PUNE,ATM withdrawal,2024,7,jul.,2024-07
T1982,U089,2021-02-27,Income,Others,49683.0,Unknown,lucknow,xyz123,2021,2,feb.,2021-02
T7154,U039,2024-09-21,Expense,Food,222.0,UPI,Bangalore,misc,2024,9,sep.,2024-09
T2699,U092,2023-02-25,Expense,Travel,2553.0,UPI,LUC,Doctor consultation,2023,2,feb.,2023-02
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,BANGALORE,xyz123,2021,2,feb.,2021-02
T12850,U076,2021-06-09,Expense,Rent,3010.0,UPI,KOL,,2021,6,jun.,2021-06
T6195,U038,2024-11-20,Income,Salary,855881.0,Banktransfer,Jaipur,,2024,11,nov.,2024-11
T5731,U027,2023-02-04,Expense,Food,2206.0,Bank_Transfer,,xyz123,2023,2,feb.,2023-02
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,JAI,Gym membership,2024,4,abr.,2024-04
T7565,U075,2022-01-24,Expense,Travel,4286.0,Banktransfer,hyderabad,,2022,1,ene.,2022-01
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,Books,2024,12,dic.,2024-12
T6239,U150,2021-12-28,Expense,Education,4189.0,Card,Bangalore,Uber ride,2021,12,dic.,2021-12
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfr,LUCKNOW,Coffee,2022,10,oct.,2022-10
T4949,U101,2023-01-03,Expense,Food,3865.0,Banktransfer,JAI,,2023,1,ene.,2023-01
T3563,U007,2021-05-05,Expense,Travel,2407.0,Crd,CHE,Internet bill,2021,5,may.,2021-05
T10891,U055,2024-09-08,Expense,Food,3085.0,Card,JAIPUR,Electricity bill,2024,9,sep.,2024-09
T10872,U080,2023-02-22,Expense,Health,5252.0,Unknown,Delhi,Online course,2023,2,feb.,2023-02
T3396,U136,2021-09-22,Expense,Rent,7619.0,Cash,pune,Movie tickets,2021,9,sep.,2021-09
T1215,U150,2023-12-29,Expense,Others,4823.0,Cash,Ahmedabad,...,2023,12,dic.,2023-12
T5293,U044,2021-02-23,Expense,Health,8497.0,Unknown,KOLKATA,Gym membership,2021,2,feb.,2021-02
T12220,U122,2023-11-14,Expense,Food,999999.0,UPI,LUC,,2023,11,nov.,2023-11
T2003,U149,2021-04-15,Expense,Travel,8241.0,UPI,,Movie tickets,2021,4,abr.,2021-04
T9452,U062,2023-09-24,Expense,Rent,8579.0,Bank Transfer,AHMEDABAD,...,2023,9,sep.,2023-09
T4924,U082,2022-05-25,Expense,Food,235.0,Card,CHENNAI,ATM withdrawal,2022,5,may.,2022-05
T11911,U069,2023-06-22,Expense,Food,1263.0,UPI,lucknow,,2023,6,jun.,2023-06
T11270,U022,2023-08-09,Expense,Health,2134.0,Bank Transfr,JAI,Books,2023,8,ago.,2023-08
T13032,U150,2021-06-19,Expense,Education,2228.0,Cash,DELHI,Movie tickets,2021,6,jun.,2021-06
T0361,U055,2023-08-16,Expense,Utilities,1081.0,Crd,PUNE,,2023,8,ago.,2023-08
T7314,U103,2022-02-26,Expense,Entertainment,371.0,Cash,MUM,Uber ride,2022,2,feb.,2022-02
T11430,U108,2021-07-10,Expense,Food,225.0,Crd,Pune,!!!,2021,7,jul.,2021-07
T12663,U052,2023-04-15,Expense,Rent,23776.0,UPI,Bangalore,Doctor consultation,2023,4,abr.,2023-04
T6106,U008,2023-04-23,Expense,Health,6707.0,Card,DELHI,,2023,4,abr.,2023-04
T9628,U096,2024-03-22,Expense,Food,8380.0,Bank Transfer,hyderabad,,2024,3,mar.,2024-03
T1623,U017,2021-04-10,Expense,Utilities,601.0,Bank Transfer,JAIPUR,Medicine,2021,4,abr.,2021-04
T13765,U034,2024-09-05,Expense,Others,3219.0,Cash,hyderabad,Internet bill,2024,9,sep.,2024-09
T5930,U011,2024-04-21,Expense,Savings,8111.0,Unknown,DEL,Grocery shopping,2024,4,abr.,2024-04
T1627,U069,2022-04-18,Expense,Utilities,5554.0,Bank Transfer,HYDERABAD,EMI payment,2022,4,abr.,2022-04
T4242,U053,2024-08-15,Income,Salary,41573.0,Bank Transfr,mumbai,Coffee,2024,8,ago.,2024-08
T12437,U004,2024-01-12,Expense,Education,3110.0,Banktransfer,chennai,Doctor consultation,2024,1,ene.,2024-01
T8670,U030,2024-07-25,Expense,Food,4277.0,Crd,PUNE,Train ticket,2024,7,jul.,2024-07
T11341,U127,2024-01-17,Expense,Food,3047.0,Crd,Mumbai,Grocery shopping,2024,1,ene.,2024-01
T9556,U008,2024-06-27,Income,Freelance,10183.0,Unknown,DELHI,,2024,6,jun.,2024-06
T2449,U028,2022-04-16,Expense,Travel,9888.0,Bank Transfer,DEL,Shopping,2022,4,abr.,2022-04
T4357,U088,2024-07-03,Expense,Rent,7217.0,Cash,DELHI,Internet bill,2024,7,jul.,2024-07
T0815,U141,2021-10-05,Expense,Education,9725.0,Bank Transfr,CHE,Restaurant dinner,2021,10,oct.,2021-10
T7919,U086,2023-05-27,Expense,Entertainment,9648.0,Bank Transfr,kolkata,!!!,2023,5,may.,2023-05
T5695,U061,2023-10-22,Expense,Travel,1643.0,Card,Mumbai,Petrol,2023,10,oct.,2023-10
T3475,U046,2022-12-10,Income,Freelance,70075.0,UPI,Kolkata,Gym membership,2022,12,dic.,2022-12
T5875,U081,2021-10-31,Expense,Food,864.0,Bank Transfr,Mumbai,Shopping,2021,10,oct.,2021-10
T10128,U104,2024-09-06,Expense,Unknown,6228.0,Cash,hyderabad,,2024,9,sep.,2024-09
T3491,U061,2024-04-10,Expense,Education,1206.0,Cash,Ahmedabad,Shopping,2024,4,abr.,2024-04
T2225,U028,2023-07-06,Expense,Education,8204.0,Crd,,!!!,2023,7,jul.,2023-07
T6946,U068,2024-06-23,Expense,Education,5756.0,UPI,HYDERABAD,xyz123,2024,6,jun.,2024-06
T2022,U056,2021-12-20,Expense,Food,5576.0,Banktransfer,DEL,Medicine,2021,12,dic.,2021-12
T13529,U123,2021-11-05,Expense,Health,9771.0,Bank_Transfer,Pune,Petrol,2021,11,nov.,2021-11
